comedian,sentence,humor
Jimmy_Yang_2,"Like, it’s really hard for me to watch TV with my dad, because he’s trying to make me explain everything to him.",aggressive
Jimmy_Yang_2,"First of all, old Asian people, they don’t watch TV. They judge the TV.",aggressive
Jimmy_Yang_2,"He’s just sitting there, arms folded, judging the TV like–",aggressive
Jimmy_Yang_2,"He’s made some random noises around the house. Now whenever he sneezes, it’s never just a sneeze. It’s like a whole tsunami of sound waves that comes after.",aggressive
Louis_CK,"You fucking think about it, you idiot.",aggressive
Louis_CK,"What was he then? You’re… What, was he Presbyterian? What was he?""",aggressive
Louis_CK,Jesus was Catholic and he had a gold chain with a cross.,aggressive
Louis_CK,"And when they nailed him up, he was like, “Oh, that’s why we have those!” “That finally makes sense. I didn’t even know. Oh, fuck, that’s me! I’m the little guy on it!”",aggressive
Louis_CK_2,They’re in our lives and they know nothing about what’s happening.,aggressive
Louis_CK_2,"You ever been having, like, a dramatic moment in your family, like, you’re in the living room telling the kids that grandma died, and everybody’s crying, and the dog’s sitting there like…“I know you! Ha!” They’re so stupid!""",aggressive
Louis_CK_2,"Incredibly stupid animals. They don’t even know their own lives, they don’t even — they can’t even handle their own lives mentally.",aggressive
Nate_Bargatze,"I’ve never thought about an author a day in my life, so… That never occurred to me.",aggressive
Nate_Bargatze,"I love when kids cry, it’s just innocent. I love how innocent it is. They cry over a tag in their shirt. I mean, they bawl. They don’t like… It feels weird.",aggressive
Nate_Bargatze,"You could be like, “Is your house on fire?” I’ve never seen someone cry this much. It’s over nothing.",aggressive
Nate_Bargatze_2,"Third grade, you’re like, “Okay.” They throw some stuff in, you’re like, “Oh, all right. All right.” It’s, uh… “Okay, learning it earlier than we used to, huh?”",aggressive
Nate_Bargatze_2,"She brought home Common Core math. That’s fun. It’s a new math they invented, no heads up. Just give it to parents that never learned it",aggressive
Nate_Bargatze_2,"It’s just a whole new… I mean, it’s unbelievable. They bring it home,'",aggressive
Nate_Bargatze_TK,"Uh… It goes clown, then magic. There’s two steps. You can take them in either order.",aggressive
Nate_Bargatze_TK,"I was born, he was a clown. It was never weird to me. I thought everybody’s dad was a clown.",aggressive
Nate_Bargatze_TK,The Easter Bunny was in the passenger seat.,aggressive
Nate_Bargatze_TK,"The Easter Bunny head didn’t fit in the car. Like, he couldn’t sit normal, so his head was bent to the side.",aggressive
Nate_Bargatze_TK,"And I remember he had his seat belt on, and he’s just like…",aggressive
Nate_Bargatze_TK_2,"Tuesday’s getting married, rehearsal’s Friday, wedding’s Saturday.",aggressive
Nate_Bargatze_TK_2,We gotta be there Monday for this wedding? How long is this wedding? It’s a week?,aggressive
Nate_Bargatze_TK_2,I’m wildly overdressed. I look like I work there.,aggressive
Nate_Bargatze_TK_2,Everybody else just has a football or basketball jersey on.,aggressive
Nate_Bargatze_TK_2,"He has his tuxedo jacket, pants, cummerbund, bowtie. No shirt.",aggressive
Nate_Bargatze_TK_2,"They forgot his shirt, and instead of waiting to go get it, he was like, “Let’s",aggressive
Russell_Peters,What do you mean what else is wrong with me?,aggressive
Russell_Peters,"that’s really fucking racist, but since you asked, I have acid reflux.",aggressive
Russell_Peters,"You know exactly who has it. You got it, don’t you, yellow guy?",aggressive
Russell_Peters,"First of all, you’re lying to me right now. Because there is no way you can be Indian and not have fucking acid reflux.",aggressive
Russell_Peters,"""It’s inevitable. There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your– as my dad would say– your'",aggressive
Russell_Peters_2,"If I have twin girls, these are going to be my daughters, it’s going to be Kate and Duplicate. These are my boys, it’s Pete and Repeat.",aggressive
Russell_Peters_2,"If I had twins with a black girl, this is Tyrone and Tyclone.",aggressive
Russell_Peters_2,"Identical twins, that’s like bragging rights for you, you know I mean. That’s your way of going, look. Look at how good my balls are. Look, look.",aggressive
Russell_Peters_2,"Or because you’re Punjabi, look at how good my junk they are.",aggressive
Sam_Morril,"That is male privilege right there, isn’t it? I just told a room full of people I got roofied. I did not see one concerned face in here. Everyone in here is like I assume things worked out for you, and they did. Still weird, though.""",aggressive
Sam_Morril,"And I was like, I’ll drink it. And he gave me this hateful look, and I thought, why is this guy so mad at me? And then I chugged it, and I woke up the next morning, and I was like oh. That guy’s",aggressive
Sam_Morril_2,"It’s weird that they can do anti-smoking ads, but you can’t do pro-cigarette commercials. Isn’t that weird? They don’t give ’em a rebuttal.",aggressive
Sam_Morril_2,"A hot girl walks up to a guy in the bar and asks to bum a cigarette, and he goes, oh, I don’t smoke. So then she goes outside and bums them from another guy, and they go home together and they fuck and that’s the whole commercial. There at the end, it just says, “Wouldn’t kill you',",aggressive
Trevor_Noah,You don’t mess with the Russians. Most frightening people in the world. You know how I know this? You know how I’ve learned? Because I’ve learned how to use the Russian accent for myself.,aggressive
Trevor_Noah,"I’ll share this with you, I don’t mind. I, uh– I’m not particularly comfortable in the house at night by myself. What I’m trying to say is I’m afraid of the dark.",aggressive
Trevor_Noah,"But what happens is, I’ll be sleeping. And in the middle of the night'",aggressive
Trevor_Noah_2,"You can’t do normal things with that voice. You are destined for greatness.""",aggressive
Trevor_Noah_2,"You can’t be running in the streets: “And a Kit Kat, please.” No. No.",aggressive
Trevor_Noah_2,"It just doesn’t work. I remember when Nelson Mandela was still alive, and he would tell jokes at press conferences and events, and no one would laugh.",aggressive
Trevor_Noah_2,Because everyone thought a man who had been in jail for 27 years couldn’t make a joke.,aggressive
Trevor_Noah_2,He still kept what was him. It was partly because',aggressive
Tom_Segura,"The most terrifying housing situation that exists. Where other trailer people are like, “Get the fuck out of here.” Kick ’em out.",aggressive
Tom_Segura,You don’t fuckin’ have it? Isn’t that your sole responsibility?,aggressive
Tom_Segura,"Let’s go get it.” He goes, “I’ll go get it. You stay here and watch my place.” And I was like… “Okay.”",aggressive
Tom_Segura,"That’s what’s up.” -Like, yeah, man. Pow.*",aggressive
Tom_Segura_2,"I got such a warm rush through my body. It felt like the inside of my body hugged the outside of my body, you know?",aggressive
Tom_Segura_2,"I think it’s a taste of power. Like most of us, we have no power in our everyday lives.",aggressive
Tom_Segura_2,"You are lord of the elevator shaft. You get to decide, like a king with his drawbridge",aggressive
Tom_Segura_2,"And you can watch people walk up and be like, “Mm-mm.” -And you hit that.",aggressive
Anthony_Jeselnik_3,"Just to teach me an important lesson about brand loyalty.""",aggressive
Anthony_Jeselnik_3,Beat the hell out of me.,aggressive
Anthony_Jeselnik_3,Let her take the hit.,aggressive
Anthony_Jeselnik_3,You don’t take classes. You don’t read the instructions. You just do it and figure it out.,aggressive
Anthony_Jeselnik_3,"Like, when I was a kid, I never got to take swimming lessons. No, my dad would pick me up and throw me'",aggressive
Ali_Wong_3,You go to any hipster neighborhood in a major city in America and that shit is turning into a Yoko Ono factory.,aggressive
Ali_Wong_3,It’s… too much. I don’t know what’s wrong with these bitches.,aggressive
Ali_Wong_3,"You feel very… You feel very picturesque when you’re with a white dude, you know. You feel like you’re in a Wes Anderson movie or something.",aggressive
Ali_Wong_3,"And you know, white dudes, they teach you about a lot of cool stuff like voting and recycling, and disturbing documentaries.",aggressive
Chelsea_Peretti_3,I was filled with adrenaline. It’s what I imagine hunting and gathering felt like.,aggressive
Chelsea_Peretti_3,My dick hurts.,aggressive
Chelsea_Peretti_3,"Cause I wanted it to be cross-platform, you know? I didn’t know if they were linked.",aggressive
Chelsea_Peretti_3,"People just like, “Dude, what’s up with your dick? We’re worried about you.”",aggressive
Chelsea_Peretti_3,any shithead can just write [grunts] “Here’s my thoughts.,aggressive
Donald_Glover_3,"""It sounds so cool when you say it in rap songs. Like, I want to say that, it sounds cool.”",aggressive
Donald_Glover_3,"And I’m just like, oh, it doesn’t really, like, do anything… it’s not that great, you know?",aggressive
Donald_Glover_3,"And she comes up to me and she goes, “I’m sorry, but are there any terms or phrases in your act “that don’t exist in sign language that I have to make up on the spot?”",aggressive
Hasan_Minhaj_3,"Try to understand immigrant fathers. I still can’t understand some of you. There are uncles here. None of you guys are smiling. I don’t get it. You’re going to die. Laugh. Why aren’t you laughing? You’re always stressed and always tired. You could wake up any immigrant father from a 12-hour nap, and they’d say… [angry yawn] “Why do I have to pay taxes?” You’re like, “Jesus…",aggressive
Iliza_Shlesinger_3,"Gentlemen, you have no idea what we’re looking at.",aggressive
Iliza_Shlesinger_3,"We’re judging your hair, your shoes, we scan you, like Predator",aggressive
Iliza_Shlesinger_3,"Scanning for physical abnormalities. Is he balding Is that a goatee Is his shirt unbuttoned too low for his ethnicity? Is he wearing embroidered jeans? If so, is he a European male or just someone from Arizona?",aggressive
Iliza_Shlesinger_3,We aren’t looking to see if you’re the hottest guy ever. Nay. We are merely assessing if you’re 50% attractive enough,aggressive
John_Mulaney_3,"No, I wish!",aggressive
John_Mulaney_3,Jesus Christ!,aggressive
John_Mulaney_3,Blair Witch style.,aggressive
John_Mulaney_3,"And I’m still up at the register like…""",aggressive
John_Mulaney_3,You’ll see! One day I’m going to leave you and I’m going to get that Best Buy Rewards card.,aggressive
John_Mulaney_3,"Jesus Christ, you’re never going to get that Best Buy Rewards card!",aggressive
Jim_Gaffigan_3,You’re so much taller in person. Can we do a selfie?,aggressive
Jim_Gaffigan_3,"Like, you never hear, we’re in restaurant, Tom Hanks walked in and then he came over and murdered my family. That never happens.",aggressive
Jim_Gaffigan_3,That guy looks like Phillip Seymour Hoffman.,aggressive
Jim_Gaffigan_3,Do you have anything stronger? ‘Cause I don’t think this bear’s approaching to get his hair done.,aggressive
Joe_List_3,"I didn’t go to college or anything, but I know how to do therapy. I’ve been going long enough.",aggressive
Joe_List_3,"Whatever you’re dealing with, it’s because of your family. Look no further, than your own family. That’s all therapy is, you complain about your problems, then he says, “It’s your family.” And then you’re like, “Still, great.” Then you give him your money, and then you leave.",aggressive
Joe_List_3,He nailed it. These are the worst people I’ve ever met in my life. I don’t know how I didn’t see this earlier.,aggressive
Joe_List_3,"My biggest fear, is that when I go to the bathroom, they’ll be a man, hiding behind the shower curtain waiting'",aggressive
Jimmy_Yang_3,"What do you want, a fortune cookie?",aggressive
Jimmy_Yang_3,"Like, wha–? Like, what do you want?",aggressive
Jimmy_Yang_3,She acted like she just unlocked a new character on Street Fighter or some shit.,aggressive
Jimmy_Yang_3,"bitch, you understand you just insulted my entire race of people?",aggressive
Jimmy_Yang_3,"You’re the real MVP. You get two fortune cookies tonight, miss.",aggressive
Jimmy_Yang_3,Everybody should have average dick until proven guilty,aggressive
Jimmy_Yang_3,"Everybody should start at average dick, 8 inches. And we go from there",aggressive
Louis_CK_3,She’s very expensive. Please don’t touch her.,aggressive
Louis_CK_3,"I un-rescued it, and I bought a dog that works.",aggressive
Louis_CK_3,"I hate New York, I really do — I used to love New York, but I hate it now, I really — I’d rather be in Auschwitz than in New York City. Honestly, I would.",aggressive
Louis_CK_3,"I mean Auschwitz now. I mean, today Auschwitz. Not back when it was open. I mean, now — it’s nice now. There'",aggressive
Nate_Bargatze_3,"Guys are drinking beers in the church. Like, that’s something I’ve never heard, a pastor be like, “Guys, can we not drink alcohol in the church?” They’re like, “Oh, I didn’t know this was the nice part of town. All right.”",aggressive
Nate_Bargatze_3,"The horse was the oldest horse I’ve ever seen. I thought it was a donkey. I thought they got a deal on a donkey. And the guy was like, “This horse was in the Kentucky Derby.” You’re like, “The first'",aggressive
Nate_Bargatze_TK_3,"Nothing should ever come out of her mouth that I’m like, “What? What was that?”",aggressive
Nate_Bargatze_TK_3,"[chuckles] I didn’t know that there was a rule in play. I thought you felt it out, you know, and just go, “That feels right,” and that’s what you do.",aggressive
Nate_Bargatze_TK_3,"I do the same thing with a comma. I’ve never known where a comma’s supposed to go. If I feel a comma’s coming, I try to get out of that sentence so bad.",aggressive
Russell_Peters_3,And candy fell out of her.,aggressive
Russell_Peters_3,He’s going to be able to engineer the wall. And hop it.,aggressive
Russell_Peters_3,He’s going to steal your laptop and fix it.,aggressive
Russell_Peters_3,"Man, you did all this shit young. That’s crazy. I mean, that’s great. I did it way too late",aggressive
Russell_Peters_3,"When my son starts walking, we’re going to be walking the same way.",aggressive
Russell_Peters_3,"My girlfriend, she started the show after one month. It was like,. I’m like, what'",aggressive
Sam_Morill_3,we don’t know how hilarious Hitler would have been on social media.,aggressive
Sam_Morill_3,Adolf’s trending.,aggressive
Sam_Morill_3,"Just said fun facts about Hitler, which I think is a great title.",aggressive
Sam_Morill_3,I’ve always said there aren’t enough upbeat pieces on the Fuhrer.,aggressive
Sam_Morill_3,"Fun fact about Hitler, didn’t pay income tax, was very bad at managing his money, and I thought, man, it’s too bad there wasn’t a group of people that could have helped, you know?",aggressive
Sam_Morill_3,Jews.,aggressive
Trevor_Noah_3,"It’s less of a command and more of a suggestion. It’s not “Stop!” It’s “Stop?” It’s almost like an African traveled the world, saw that other people have traffic lights and then just brought them back, but didn’t know what they were for.",aggressive
Trevor_Noah_3,"The guy was like, “Guys, guys, guys. We need to get traffic lights. Ah?” People were like, “What for?” “It’s for the intersection. It adds atmosphere.” No one actually knew what it was about.",aggressive
Tom_Segura_3,Whoa. Are you Japanese?,aggressive
Tom_Segura_3,"Hundred percent, yeah.",aggressive
Tom_Segura_3,Segura. Segura! Sounds Japanese.,aggressive
Tom_Segura_3,"Well, what are you?",aggressive
Tom_Segura_3,That’s ’cause you’re saying it Japanese.,aggressive
Tom_Segura_3,It’s never important to ask that question.,aggressive
Anthony_Jeselnik,"So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street. Sold my passport on the street for 300 bucks to get to go to my prom",self-enhancing
Anthony_Jeselnik,"Weird joke to clap for, but sure.",self-enhancing
Anthony_Jeselnik,"My mom actually should’ve been on one of the planes that crashed on 9/11. I think.I mean, don’t get me wrong, I loved my mother. She was my mom",self-enhancing
Anthony_Jeselnik_2,"I asked a friend for advice. Was like, “I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?”",self-enhancing
Anthony_Jeselnik_2,"Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don’t tell a joke. Try not.",self-enhancing
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent",self-enhancing
Ali_Wong,Don’t ever do that with your mom.,self-enhancing
Ali_Wong,It was like the worst experience of my life. It was so emotional.,self-enhancing
Ali_Wong,She refused to let go of a Texas Instruments TI-82… manual.,self-enhancing
Ali_Wong,She don’t even know… where the calculator is.,self-enhancing
Ali_Wong,It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $200. And everybody thought it could graph. It was like',self-enhancing
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis. ‘Cause she knows that she’s got a century more to go.",self-enhancing
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.,self-enhancing
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",self-enhancing
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck. They got no shame.",self-enhancing
Ali_Wong_2,They do that ’cause it’s a free activity. For them.,self-enhancing
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… [laughing shrilly] “To the future!",self-enhancing
Chelsea_Peretti,"Every photo, they were just like… [giggles shrilly] “Uh-oh, it’s us again.”",self-enhancing
Chelsea_Peretti,"She calls him by a word that I really feel is one of the more disgusting words in the English language. She calls him her “hubby,” which, to me is on par with the “N'",self-enhancing
Chelsea_Peretti_2,People say I look just like you.,self-enhancing
Chelsea_Peretti_2,"It’s actually to stop them from sweating, because why would you, you know, as a human?",self-enhancing
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole",self-enhancing
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil.",self-enhancing
Chelsea_Peretti_2,"Oh, ho, ho, ho.""",self-enhancing
Chelsea_Peretti_2,She is so fucking hot. Her armpits are bone-fucking-,self-enhancing
Donald_Glover,"tears streaming down his face, but he wasn’t crying. He wasn’t crying. Just tears, he was giving me this mean mug, he was like…",self-enhancing
Donald_Glover,What the fuck is wrong with this kid? What’s going on with this kid?,self-enhancing
Donald_Glover,The sweetest thing he was allowed was mints. He would… The sweetest thing he was allowed was mints.,self-enhancing
Donald_Glover,the vapors from his own mouth made his eyes water.,self-enhancing
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.”",self-enhancing
Donald_Glover_2,"Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high.",self-enhancing
Donald_Glover_2,"You can shit on command? Like, you can just… You can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!”",self-enhancing
Hasan_Minhaj,"Are you fucking kidding? Thirteen episodes for this kid?""",self-enhancing
Hasan_Minhaj,Do you know when br0wn kids get slapped? Every br0wn birthday party.,self-enhancing
Hasan_Minhaj,"And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!",self-enhancing
Hasan_Minhaj,"It’s why we become cardiologists and win spelling bees.""",self-enhancing
Hasan_Minhaj,"You ever seen an Indian kid win a spelling bee? Incredible! Ice water in the veins.""",self-enhancing
Hasan_Minhaj_2,Getting into Stanford.,self-enhancing
Hasan_Minhaj_2,"No, you have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom.",self-enhancing
Hasan_Minhaj_2,"All 30 of us? We’re all going to prom? AP Calc? Us? Me, Jehovah’s Witness girl, Korean exchange students, going to the prom? Thirty for 30? All of us?",self-enhancing
Hasan_Minhaj_2,"Hanson, this is not funny.",self-enhancing
Hasan_Minhaj_2,"Whatever, it’s not going to happen.He can’t do'",self-enhancing
Iliza_Shlesinger,I don’t know. I can’t say empirically how fun being married is.,self-enhancing
Iliza_Shlesinger,"The beginning of a relationship is exciting because it’s brand new. You’re both on your best behavior, it’s still electric, you’re not totally sure about the history of mental illness in each family. It’s fun.",self-enhancing
Iliza_Shlesinger,"You want him to come in and be, like, “It’s so homey. I’d like to stay forever.” Yes, come closer. Like, that’s what you want.",self-enhancing
Iliza_Shlesinger_2,"You don’t want to wear… what you wore during the day. Don’t want work clothes. You don’t want to wear your daytime clothes, ’cause… ’cause it’s nighttime. What if that was the end of my show? I hit my head.",self-enhancing
Iliza_Shlesinger_2,"You don’t want to wear your civilian clothes, okay. ‘Cause you had a whole day. Maybe you sweat in them, they’re gross",self-enhancing
Iliza_Shlesinger_2,"However, at the other end of the sartorial spectrum, you don’t want to go, like'",self-enhancing
Jim_Gaffigan,"That doesn’t seem fair. I am now at the size, when I go in clothing stores sales people look at me like, “We got nothing for you. And you can’t use our bathroom.”",self-enhancing
Jim_Gaffigan,"When I go out to eat, if I order a salad, the waiter’s always like, “Aw. Look at you try.” I’m always afraid he’s gonna gather the whole staff, “The fat pig is trying, the fat pig is trying, I…”",self-enhancing
Jim_Gaffigan_2,I have friends that are mentally ill.,self-enhancing
Jim_Gaffigan_2,Didn\'t suspect a thing. Dog didn’t know it was his birthday. The dog didn’t know it had a birthday.,self-enhancing
Jim_Gaffigan_2,"Oh, one year equals seven for doggies? Okay. When I see a dog, I’ll do math. That’s not fulfilling some dog need, you know?",self-enhancing
Jim_Gaffigan_2,"There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!”",self-enhancing
Joe_List,It’s one doctor. He knows all three body parts.,self-enhancing
Joe_List,"“Ear, nose, throat. “Who do ya need?”",self-enhancing
Joe_List,And they all kinda.,self-enhancing
Joe_List,"I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying “tin-uh-dus.”",self-enhancing
Joe_List,This guy’s a fake ass fucking retard doctor. It’s pronounced t-ah-n-i-tus.”,self-enhancing
Joe_List,"Shit, now I don’t know how to say this'",self-enhancing
Joe_List_2,"You feel better than everybody behind you, don’t you?",self-enhancing
Joe_List_2,"What a fucking idiot back there. Embarrassing, loser.",self-enhancing
Joe_List_2,"I wanted him to die, I swear to God.",self-enhancing
Joe_List_2,"That’s a decision, he’s deciding to do that.",self-enhancing
Joe_List_2,"If you were hungry on a plane, you were like, I’m hungry. Well you’re all right? Yeah, yeah I’m hungry. I like to let people know when I’m hungry. I think'",self-enhancing
John_Mulaney,"We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months.",self-enhancing
John_Mulaney,"And then one day my wife said, “Hey, you took that stuff to Goodwill, right?” And I said, “Of course I did! On an unrelated note, I’m going to walk out the front door right now.”",self-enhancing
John_Mulaney,"It was charitable, but it was also fast and violent, because I was throwing boxes at people.",self-enhancing
John_Mulaney_2,Go ahead and laugh. His name is ridiculous. That was his name. It was JJ Bittenbinder.,self-enhancing
John_Mulaney_2,"Very sorry, Radio City, did that make you uncomfortable? Well, guess what? You’re adults and he’s not even here. So try being seven years old and you’re sitting five feet away from him.",self-enhancing
John_Mulaney_2,"He’s still got blood on his shoes. And he’s looking at you in the eye to tell you for the first time in your very young life that some adults find you incredibly attractive. [audience laughing',",self-enhancing
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping.",self-enhancing
Jimmy_Yang,"""I’ve been dating a lot of tall girls lately, because it makes me look successful.",self-enhancing
Jimmy_Yang,"But some of them like to wear heels. That’s just disrespect. Like, you’re already five inches taller than me. Why the fuck are you wearing heels? She’s like, it makes my ass look better. I’m like, your ass is at my eye level right now.",self-enhancing
Jimmy_Yang_2,"Like, it’s really hard for me to watch TV with my dad, because he’s trying to make me explain everything to him.",self-enhancing
Jimmy_Yang_2,"First of all, old Asian people, they don’t watch TV. They judge the TV.",self-enhancing
Jimmy_Yang_2,"He’s just sitting there, arms folded, judging the TV like–",self-enhancing
Jimmy_Yang_2,"He’s made some random noises around the house. Now whenever he sneezes, it’s never just a sneeze. It’s like a whole tsunami of sound waves that comes after.",self-enhancing
Louis_CK,I don’t think so.,self-enhancing
Louis_CK,"That’s okay, it already all happened. Doesn’t matter where you think.",self-enhancing
Louis_CK,"You fucking think about it, you idiot.",self-enhancing
Louis_CK,"What was he then? You’re… What, was he Presbyterian? What was he? Catholic?",self-enhancing
Louis_CK,Jesus was Catholic and he had a gold chain with a cross.,self-enhancing
Louis_CK,"Oh, that’s why we have those!",self-enhancing
Louis_CK,"I didn’t even know. Oh, fuck, that’s me! I’m the little'",self-enhancing
Louis_CK_2,They’re in our lives and they know nothing about what’s happening.,self-enhancing
Louis_CK_2,"You ever been having, like, a dramatic moment in your family, like, you’re in the living room telling the kids that grandma died, and everybody’s crying, and the dog’s sitting there like…“I know you! Ha!” They’re so stupid!",self-enhancing
Louis_CK_2,"Incredibly stupid animals. They don’t even know their own lives, they don’t even — they can’t even handle their own lives mentally.",self-enhancing
Nate_Bargatze,"I’ve never thought about an author a day in my life, so… That never occurred to me.",self-enhancing
Nate_Bargatze,"I love when kids cry, it’s just innocent. I love how innocent it is. They cry over a tag in their shirt. I mean, they bawl. They don’t like… It feels weird.",self-enhancing
Nate_Bargatze,"You could be like, “Is your house on fire?” I’ve never seen someone cry this much. It’s over nothing.",self-enhancing
Nate_Bargatze_2,"First and second grade was awesome. Third grade, you’re like, “Okay.” They throw some stuff in, you’re like, “Oh, all right. All right.” It’s, uh… “Okay, learning it earlier than we used to, huh?”",self-enhancing
Nate_Bargatze_2,"She brought home Common Core math. That’s fun. It’s a new math they invented, no heads up. Just give it to parents that never learned it.""",self-enhancing
Nate_Bargatze_TK,"Uh… It goes clown, then magic. There’s two steps. You can take them in either order.",self-enhancing
Nate_Bargatze_TK,I thought everybody’s dad was a clown.,self-enhancing
Nate_Bargatze_TK,The Easter Bunny was in the passenger seat.,self-enhancing
Nate_Bargatze_TK,"The Easter Bunny head didn’t fit in the car. Like, he couldn’t sit normal, so his head was bent to the side.",self-enhancing
Nate_Bargatze_TK,"And I remember he had his seat belt on, and he’s just like…",self-enhancing
Nate_Bargatze_TK,"I like to think about all the other people that saw that.',",self-enhancing
Nate_Bargatze_TK_2,"Tuesday’s getting married, rehearsal’s Friday, wedding’s Saturday.",self-enhancing
Nate_Bargatze_TK_2,We gotta be there Monday for this wedding? How long is this wedding? It’s a week?,self-enhancing
Nate_Bargatze_TK_2,I’m wildly overdressed. I look like I work there.,self-enhancing
Nate_Bargatze_TK_2,Everybody else just has a football or basketball jersey on.,self-enhancing
Nate_Bargatze_TK_2,"He has his tuxedo jacket, pants, cummerbund, bowtie. No shirt.",self-enhancing
Nate_Bargatze_TK_2,"They forgot his shirt, and instead of waiting to go get it, he was like, “Let’s'",self-enhancing
Russell_Peters,What do you mean what else is wrong with me?,self-enhancing
Russell_Peters,"that’s really fucking racist, but since you asked, I have acid reflux.",self-enhancing
Russell_Peters,"First of all, you’re lying to me right now. Because there is no way you can be Indian and not have fucking acid reflux.",self-enhancing
Russell_Peters,"It’s inevitable. There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your– as my dad would say– your'",self-enhancing
Russell_Peters_2,"If I have twin girls– because you’ve got to have fun with the names. If I have twin girls, these are going to be my daughters, it’s going to be Kate and Duplicate. These are my boys, it’s Pete and Repeat.",self-enhancing
Russell_Peters_2,"If I had twins with a black girl, this is Tyrone and Tyclone.",self-enhancing
Russell_Peters_2,"Identical twins, that’s like bragging rights for you, you know I mean. That’s your way of going, look. Look at how good my balls are. Look, look",self-enhancing
Sam_Morril,"That is male privilege right there, isn’t it? I just told a room full of people I got roofied. I did not see one concerned face in here. Everyone in here is like I assume things worked out for you, and they did. Still weird, though.",self-enhancing
Sam_Morril,"And I was like, I’ll drink it. And he gave me this hateful look, and I thought, why is this guy so mad at me? And then I chugged it, and I woke up the next morning, and I was like oh. That guy’s",self-enhancing
Sam_Morril_2,"It’s weird that they can do anti-smoking ads, but you can’t do pro-cigarette commercials. Isn’t that weird? They don’t give ’em a rebuttal.",self-enhancing
Sam_Morril_2,"A hot girl walks up to a guy in the bar and asks to bum a cigarette, and he goes, oh, I don’t smoke. So then she goes outside and bums them from another guy, and they go home together and they fuck and that’s the whole commercial. There at the end, it just says, “Wouldn’t kill you'",self-enhancing
Trevor_Noah,You know how I know this? You know how I’ve learned? Because I’ve learned how to use the Russian accent for myself.,self-enhancing
Trevor_Noah,"I’ll share this with you, I don’t mind. I, uh– I’m not particularly comfortable in the house at night by myself. What I’m trying to say is I’m afraid of the dark.",self-enhancing
Trevor_Noah,"And whenever that happens, I’m always faced with the eternal dilemma. When I go to the bathroom, do I turn the lights on and lose my sleep? Or do I leave the lights off and shit myself?",self-enhancing
Trevor_Noah_2,You can’t do normal things with that voice. You are destined for greatness.,self-enhancing
Trevor_Noah_2,"You can’t be running in the streets: “And a Kit Kat, please.” No. No.",self-enhancing
Trevor_Noah_2,"It just doesn’t work. I remember when Nelson Mandela was still alive, and he would tell jokes at press conferences and events, and no one would laugh.",self-enhancing
Trevor_Noah_2,Because everyone thought a man who had been in jail for 27 years couldn’t make a joke.,self-enhancing
Tom_Segura,"The most terrifying housing situation that exists. Where other trailer people are like, “Get the fuck out of here.” Kick ’em out.",self-enhancing
Tom_Segura,You don’t fuckin’ have it? Isn’t that your sole responsibility?,self-enhancing
Tom_Segura,That’s what’s up.,self-enhancing
Tom_Segura,Can we get a description before we agree to terms? How about a height and weight on old mom?,self-enhancing
Tom_Segura_2,"I did it… I did it at the hotel earlier. I got such a warm rush through my body. It felt like the inside of my body hugged the outside of my body, you know?",self-enhancing
Tom_Segura_2,"I think it’s a taste of power. Like most of us, we have no power in our everyday lives. But if you’re alone in an elevator, -you are lord of the elevator shaft.",self-enhancing
Tom_Segura_2,"You get to decide, like a king with his drawbridge. There’s “Hold Open,” and “Close.” And you can watch'",self-enhancing
