comedian,transcript
Sam_Morril,"I got roofied at a party in college by accident, but you know, it still counts. Obviously, it was an accident. No one at the party was like I’m gonna roofie that hairy boy over there. Let me a passed-out werewolf tonight. 

That is male privilege right there, isn’t it? I just told a room full of people I got roofied. I did not see one concerned face in here. Everyone in here is like I assume things worked out for you, and they did. Still weird, though.

Here’s what happened. I was at a party and this guy handed a girl a drink, and she said, “I’m too drunk.” And I said, I’ll drink it. And he gave me this hateful look, and I thought, why is this guy so mad at me? And then I chugged it, and I woke up the next morning, and I was like oh. That guy’s a sexual predator. And my friend said you ruined his night. And I was like, that’s not how I want to think about it, you know? You don’t want to think of yourself as a -block to some monster. I prefer to think of myself as an accidental hero. I have a negative-one rapes, so, you know. Statistically, you know… I can’t, you guys. I can’t take all the credit, you know? It’s kind of like if I was driving drunk and I just swerved and accidentally hit a mugger. And some woman is like, “My hero,” and I’m like if you say so, but I might have a substance abuse problem, so…

It’s hard not to drink man. It’s very hard. I work in a place where there’s a bar every night. I’ve been trying to be good. It’s very difficult. I read this article that said try to replace drinking with another activity like tennis with a friend. I was like, yeah, that’s a very helpful example. That’s always the crossroads I find myself at at 4:57 a.m. I can’t tell you how often I’m coming out of a blackout like I should have done doubles instead. That’s… I brought my Wilson racket and everything. You tell me to replace an addiction with cardio, that’s very helpful. I’m gonna start walking into halfway houses full of crack heads like have you guys done Zumba? It’s so much better than crack. They’re like, thanks, we didn’t know. That was helpful. Of course you want to get fucked up. Have you tried living? I’m happy and I want to get fucked up. Have you watched the news? It makes you want to drink. Another mass shooting after another mass shooting. It’s always the same thing, too. It’s always some guy who’s like I heard voices in my head. We all do. Everyone hears voices in their head. Good people just don’t listen to them. If I listened to all the voices in my head, I would be a sometimes-gay street fighter, so… I know. It sounds like a confusing video game. It’s not, you know? Why is E. Honda butt-fucking me? Wow. That’s his finisher.

"
Sam_Morril_2,"I did nothing all day, man. I did nothing. I watched the news. I saw an anti-smoking ad. It’s weird that they can do anti-smoking ads, but you can’t do pro-cigarette commercials. Isn’t that weird? They don’t give ’em a rebuttal. And I’m not like a big cigarette guy, but I like one when I’m drunk sometimes. It’s nice. I thought of a good pro-cigarette commercial. How ’bout this for like a casual smoker? A hot girl walks up to a guy in the bar and asks to bum a cigarette, and he goes, oh, I don’t smoke. So then she goes outside and bums them from another guy, and they go home together and they fuck and that’s the whole commercial. There at the end, it just says, “Wouldn’t kill you to carry a pack,” you know? Marlboro: Just in Case.

All right, I got some momentum. Let’s break out the abortion jokes. If there was ever a time. My friend just had one, and her boyfriend didn’t contribute to the cost, which I thought was not cool, you know? She’s going through it, yeah. That’s not a very noble stance, I don’t think. That is how low the bar is. I’m like, guy should pay a little bit for the abortion, and women are like, he’s a hero. He really is. No, even the most pro-life person I talk to was like, wow, chivalry is dead. That was the baby’s name, Chivalry. I’m just saying. That one’s not for everybody, that joke. I did that joke the other night and somebody yelled out boo. I thought it was the baby’s ghost, but, you know.  I’m just saying there are still gentlemen. If I knock you up and you need an abortion, it’s on the house. I’ll throw my Delta SkyMiles card right on the counter. Are you sure, Sam? I got this. With all the rewards and benefits that Delta has to offer, I’d be a fool to do otherwise. I’m two to three abortions away from Diamond Medallion status, so… I’m losing some of you, but I’m gonna take it a step further here. I think you should get extra SkyMiles points with an abortion, because that’s one less crying baby onboard, you know? That, yeah, I don’t… Me personally, I don’t like doing that part of the joke, but I have a sponsorship deal with Delta, and you know, they get very upset when I leave it out. They dock me Biscoff cookies. Love those cookies.

I was talking to a guy after a show. He told me there was gonna be an anti-abortion parade, which I think he meant to say march, you know? I don’t think there’s gonna be a parade, but if there is, I’ll be there. I want to see what the floats look like. That one looks unfinished. That’s what we’re going for, so, yeah. Back-to-back abortion jokes. I got greedy, guys, I did. "
Trevor_Noah,"You don’t mess with the Russians. Most frightening people in the world. You know how I know this? You know how I’ve learned? Because I’ve learned how to use the Russian accent for myself. I’ve learned how to harness that energy and use it for good. I’ll share this with you, I don’t mind. I, uh– I’m not particularly comfortable in the house at night by myself. What I’m trying to say is I’m afraid of the dark. And I know it’s stupid to be afraid of the dark, right? Because there’s nothing there, nine times out of ten. But what happens is, I’ll be sleeping. And in the middle of the night, I’ll be woken up by the need to pee. And whenever that happens, I’m always faced with the eternal dilemma. When I go to the bathroom, do I turn the lights on and lose my sleep? Or do I leave the lights off and shit myself? I never know which one to go with. But what I started doing now is I leave the lights off. And when I go the bathroom, I just speak to myself in a Russian accent. It sounds crazy, but I feel safe. I feel like I’m the most dangerous thing in the night. You’ll find me at three a.m., barefoot, walking to the toilet, like, “Yes. Big boy got to make a pee-pee. No trouble over here. It’s potty time.”

I feel safe, like even if there’s a monster under the bed, he’d be like, “Is that a Russian?” There’s just something about that Russian accent. Ladies, every single one of you needs to learn the Russian accent. You read stories all the time. I talk to my female friends all the time, my family members, and women are constantly under assault. Women are living a life of being vulnerable. Walking through the streets, men catcalling. In the office place, people groping. Feeling like they have ownership of the female form. I know we can’t solve this tomorrow, but if you learn the Russian accent, half of those problems would disappear. The next time you’re in a compromising position, you’re at a bar, waiting for your drink. That creepy guy comes up and starts grinding on you from behind. “Hey, how are you? Hey, you want to dance?” “No, I’m fine, thank you. I’m just getting a drink. I don’t–” “Come on, dance with me, girl.” “I’m fine. I don’t wanna dance. Thank you. I’m waiting for my friends. I’m good.” “Come on.

♪ I know you want me ♪
♪ You know I want you ♪

Come on!
♪ I know you want me ♪”

“I don’t want dance with you. Please!” “Hey, you don’t gotta be such a bitch!” Whenever that happens, ladies, don’t be afraid, don’t stress. Just whip out your Russian and kill it dead. As soon as he says, “Don’t be such a bitch!” Just be like… [Russian accent] “You want to see bitch?”
"
Trevor_Noah_2,"Nelson Mandela was destined for greatness because of that voice. He could not be a normal man with a voice like that. You can’t do normal things with that voice. You are destined for greatness. You can’t be running in the streets: “And a Kit Kat, please.” No. No. It’s so unique. You can’t be silly. What are you making, prank phone calls? “Who the hell is this?!” “I’m not telling you.” [laughs] It just doesn’t work. I remember when Nelson Mandela was still alive, and he would tell jokes at press conferences and events, and no one would laugh. Because everyone thought a man who had been in jail for 27 years couldn’t make a joke. And yet, he still did. He still kept what was him. It was partly because of that voice. He would tell the joke, and it would just sound too epic for people to laugh. Everything he did, he’d just be like, “Ah, knock, knock.” People would be like, “Let him in. Let him in!” “No. No, no. You must say, ‘Who’s there?'” “He is so right. We’ve always got to ask, ‘Who’s there?’ Who’s here? Who are we?’ Oh, my God!” It was because of that voice, the first black president voice"
Tom_Segura,"I bought weed from a dude in a stand-alone trailer one time. Not a trailer park. A solo trailer. The most terrifying housing situation that exists. Where other trailer people are like, “Get the fuck out of here.” Kick ’em out. I just walked up to that shit, 15. This dude’s like, “You trying to get a sack?” -I was like, “Oh, shit. Yeah.” “We could go do that.” I was like, “All right. Cool.” And he goes, “We just need to go get it.” I was like, “You don’t fuckin’ have it? Isn’t that your sole responsibility?” I tried to play cool, “Let’s go get it.” He goes, “I’ll go get it. You stay here and watch my place.” And I was like… “Okay.” Then he goes, “There’s a .357 and a shotgun on my bed. Anybody comes in here, blast ’em.” Inside? Paralysis. But what I said was, “That’s what’s up.” -Like, yeah, man. Pow. Then he stopped at the door. “But don’t shoot my mom.” I go, “Can we get a description before we agree to terms? How about a height and weight on old mom?”
"
Tom_Segura_2,"By the way, is there any more satisfying feeling than letting an elevator door close on somebody? I did it… I did it at the hotel earlier. I got such a warm rush through my body. It felt like the inside of my body hugged the outside of my body, you know?  I was trying to figure out, “Why does this feel so good?” I think it’s a taste of power. Like most of us, we have no power in our everyday lives. But if you’re alone in an elevator, -you are lord of the elevator shaft. You get to decide, like a king with his drawbridge. There’s “Hold Open,” and “Close.” And you can watch people walk up and be like, “Mm-mm.” -And you hit that. And then you see it close, and you’re like… Sometimes, a second later it opens, and you’re like, “Fuck!” You get nervous energy, like you’re a kid. You’re like, “I’m in trouble.” It’s always some lady who’s like, “You didn’t see me?” “I don’t even know how this thing works. So many buttons. I tried all of them.”

"
Anthony_Jeselnik_3,"Man, my parents were strict. Mom and dad were strict. My mom and dad once made me smoke an entire pack of cigarettes. An entire pack of cigarettes in one sitting. Just to teach me an important lesson about brand loyalty. I learned a lot from my parents. Especially my dad. Like, I’ll never forget… the first time I ever got a bad report card in school. First time I got a bad report card, I brought it home, I gave it to my dad and my dad beat me. Beat the hell out of me. But I learned something. Because the next time I got a bad report card in school, I brought it home and I gave it to my mom. Let her take the hit. Yeah.My dad was a hard-ass. One of those guys who believed that men just learn by doing things. You know? You don’t take classes. You don’t read the instructions. You just do it and figure it out. Like, when I was a kid, I never got to take swimming lessons. No, my dad would pick me up and throw me in the water to teach himself CPR."
Ali_Wong_3,"My husband is Asian. Which a lot of people are shocked by, because, usually, Asian-American women who, like, you know, wear these kinda glasses and have a lot of opinions, they like to date white dudes. You go to any hipster neighborhood in a major city in America and that shit is turning into a Yoko Ono factory. It’s… too much. I don’t know what’s wrong with these bitches. I get it, you know, because being with a white dude you feel very… You feel very picturesque when you’re with a white dude, you know. You feel like you’re in a Wes Anderson movie or something. And you know, white dudes, they teach you about a lot of cool stuff like voting and recycling, and disturbing documentaries. They introduce you to cool stuff like that and it’s very, you know, it’s hot hookin’ up with a white dude. I mean, nothing makes me feel more powerful than when a white dude eats my pussy. Oh, my God. I just feel like I’m absorbing all of that privilege and all of that entitlement… …you know, just right there, through the money hole and just… And then also, he’s so vulnerable down there. I’m, like, “I could just crush your head at any moment, white man! I could just kill you right now! Crush those brains! Colonize the colonizer!” You know?"
Chelsea_Peretti_3,"But there is some really cool stuff that we get to experience in this day and age that our grandparents never got to experience… like that feeling you get when one of your friends leaves their phone or their laptop unattended, and they do not have a password on it, like a dummy. My friend did this recently, and I saw his phone, and I was like… [gasps] I was filled with adrenaline. It’s what I imagine hunting and gathering felt like. I was just like… [gasps] “But this could sustain my spirit for two weeks!” I went onto his phone. I was just like… went onto Twitter. I’m like, “My dick hurts.” Then I was just like… [humming triumphant tune] I went onto Facebook. I was like, “My dick hurts.” [chuckles] ‘Cause I wanted it to be cross-platform, you know? I didn’t know if they were linked. And then I got to sit there and watch the comments roll in… People just like, “Dude, what’s up with your dick? We’re worried about you.” Our grandparents never got to do that. Do you guys think that omments… Internet comments are a good thing, pushing society in an even better and greater direction? It’s a leading question. It’s just weird that any news story that goes online, it’s like any shithead can just write [grunts] “Here’s my thoughts.” I wonder how is that gonna affect our society? How is it gonna shape things? I think about a young comedian starting now, anything they do is gonna go online, and it’s gonna be a million people at every stage of their development, giving them instant feedback. How’s that gonna affect their artistic journey? Imagine if some of the great minds of the past had been around during comment culture. If Einstein had been a young scientist, you know, maybe he would have posted a little theorem up on some science website, you know, just like, “E equals… I’m not sure yet.” You know. And then the first comment would have been like, “What’s up, Jew-fro?! You Jew-ass bitch! Jew, Jew, Jew, bitch, Jew, bitch, Jew.” Einstein would have just been like, “Oh, I’m not gonna do science anymore. It’s too hurtful.” Just pack up his little beakers and hit the road. Maybe get a job at Kiehl’s. [giggles] Did he use beakers? I don’t know. like, what did he do? He invented wing sauce? "
Donald_Glover_3,"People always want to know who can say the N-word and who can’t say the N-word. You know, like people always… You know, I’ve got a lot of white friends. And they’re all just kind of like, “Oh man, I wish I could say that stuff. “It sounds so cool when you say it in rap songs. Like, I want to say that, it sounds cool.” And I’m just like, oh, it doesn’t really, like, do anything… it’s not that great, you know? Like, it still comes up in weird places, like… You know, like that niglet joke? I told that joke in Alaska, and Alaska, for some reason, has a large deaf population. So they hired a woman to do sign language with me for that joke, and she comes up to me and she goes, “I’m sorry, but are there any terms or phrases in your act “that don’t exist in sign language that I have to make up on the spot?” And I was like… “Yeah. Niglet?” And she goes, “Oh.” There’s already a term for “niglet” in sign language! They already have it! Deaf people have been saying “niglet” for years! For years! A n*gga that is tiny, that’s what that means! Was it… Why is this “n*gga”? Why is this… This is… I feel like it should be… Or… Way, way before this. I’ve done this walking down the street. Like, when my nose itches, I’ve done that and I feel like deaf people were looking at me like, “That motherfucker’s racist.” “That guy hates his own people.”"
Hasan_Minhaj_3,"I’m the only br0wn kid at school, Dad is the only br0wn guy at work. In a weird way that brings us together, and we have to do everything together. Try to understand immigrant fathers.I still can’t understand some of you. There are uncles here. None of you guys are smiling. I don’t get it. You’re going to die. Laugh. Why aren’t you laughing? You’re always stressed and always tired. You could wake up any immigrant father from a 12-hour nap, and they’d say… [angry yawn] “Why do I have to pay taxes?” You’re like, “Jesus…” We’d do everything…I remember being in the grocery store. And we’d be walking through the aisles, and my dad would pick up yogurt. “Ah, yogurt.” Or milk. Just like, “Ah.” And I’d look at him and be like, “Oh, man. Dad hates yogurt.” [laughter] “He hates milk.” But I get that look, now. Life is tough and sometimes you don’t know what you’re doing. He has a little kid and I’m not making his life any easier. I’m picking up soda and I’m like, “Ah!” “Don’t do that.” “I’m going to live forever!” Then I would trip on my Velcro shoes and I would drop the soda and it would explode. And then my dad would do what most br0wn parents do. He would check to see if the coast is clear… and he’d slap the shit out of me.I love it. Thank you. Thank you. Pockets were acknowledging that. And for the liberal white guilt, immigrants aren’t going to hit their children the way you do. Americans hit on the arm and bruise the body. Immigrants slap your face and bruise your soul. It’s Guantanamo of the mind. And I know some of you guys are like, “Hey, this is Davis, okay? I listen to NPR. Ira Glass says children are our future.”"
Iliza_Shlesinger_3,"Okay, so… So, we look at everything. You think men judge women harshly? They do. But, gentlemen, you have no idea what we’re looking at. We’re judging your hair, your shoes, we scan you, like Predator. Every atom, every molecule of your DNA, we go through it like… “Scanning for physical abnormalities. Is he balding Is that a goatee Is his shirt unbuttoned too low for his ethnicity? Is he wearing embroidered jeans? If so, is he a European male or just someone from Arizona?” Like, we go through it. We go through it. We aren’t looking to see if you’re the hottest guy ever. Nay. We are merely assessing if you’re 50% attractive enough that we want to put the effort into putting ourselves in your orbit. So that, in an hour, after a drink or two, you, gentlemen, have the luxury of turning around and being, like, “Oh, excuse me, I couldn’t help but notice.” Then we turn around, like… Really? That’s it. Just set it up for you to knock it down."
John_Mulaney_3,"My wife and I went to Best Buy to get a TV. We didn’t end up getting the TV. I was afraid that the Best Buy guy was going to be mad at me, so I bought an HDMI cable.I go to the register with Anna, my wife’s name Anna, she’s standing next to me, I hand the guy the HDMI cable. He takes it, he scans it, he says, “Do you have a Best Buy Rewards card?” And I said, “No, I wish!”And then my wife said, “Jesus Christ!” And fully walked away from me. Walked all the way to the laser printers and just stood there, Blair Witch style. And I’m still up at the register like…And the guy goes, “Do you want a Best Buy Rewards card?” And I said, “No.” Even though I had just said it was my greatest wish in life. I was hoping he’d believe me, that it was secretly my great wish but that I’m in an abusive marriage with little Miss Jesus Christ over here so I can’t ask for the things I want in public but at home, at night, we argue about it and I’m like, “You’ll see! One day I’m going to leave you and I’m going to get that Best Buy Rewards card.” She’s like, “Jesus Christ, you’re never going to get that Best Buy Rewards card!”"
Jim_Gaffigan_3,"So I returned to my family, and we immediately went on a hike and it was great. Alaska’s beautiful. My kids were havin’ fun. I was pretending like I enjoyed being outside. And then suddenly we saw a bear, like, 500 yards away, this huge brown bear, like, way bigger then a gummy bear. And I was so excited ’cause I watch nature shows, but I had never seen a bear in person so it felt like a celebrity sighting. I was like, “Oh my God, I’ve watched you on Animal Planet. “You’re so much taller in person. Can we do a selfie?” But unlike a celebrity sighting, there was the risk of death. Like, you never hear, we’re in restaurant, Tom Hanks walked in and then he came over and murdered my family. That never happens. But the bear was far away, so I took out my phone and I started taking pictures, and then suddenly the bear stood up, roared and looked right at me. Started creeping towards me, tilting his head back and forth almost like he recognized me. “That guy looks like Phillip Seymour Hoffman.”I was terrified. Luckily, we were with a tour guide, and I looked at him and he goes, “Don’t worry, I have bear spray,” and I was like, “Do you have anything stronger? “Like a bear gun? “‘Cause I don’t think this bear’s approaching to get his hair done.”"
Joe_List_3,"I’m going to therapy. You guys going to therapy out there? Mental and dental. No? Not a big, therapy, in New York too, oi. I love it. I can do it for ya. If you guys wanted to go, maybe you can’t afford it, I can do it for you. I didn’t go to college or anything, but I know how to do therapy. I’ve been going long enough. Whatever you’re dealing with, it’s because of your family. Look no further, than your own family. That’s all therapy is, you complain about your problems, then he says, “It’s your family.” And then you’re like, “Still, great.” Then you give him your money, and then you leave. At first I was skeptical. I was like, “I don’t know.” And then I spent 11 seconds with my family, and I was like, “He nailed it. “These are the worst people I’ve ever met in my life. “I don’t know how I didn’t see this earlier.” My Aunt Betty, she’s a big source of my anxiety. I don’t know if you guys know her at all. She was a babysitter, late ’80s, early ’90s. I have anxiety, that’s like my big issue. I know when my anxiety began, I think it was ’cause of my Aunt Betty. When I was eight years old, this is a true story, my Aunt Betty said this to me. She said, “Joe, my biggest fear.” She told me her biggest fear. I didn’t ask her what her biggest fear was, because, I was eight years old. I did not give a shit about her fears, but, she told me anyway. She said “My biggest fear, “is that when I go to the bathroom, they’ll be a man, “hiding behind the shower curtain waiting to get me.” And I was like, “Well, that’s my biggest fear now, also.” Previously my biggest fear had been wetting my pants but, that’s now the solution, to avoiding my new biggest fear, entering the bathroom at my parents house. My parents are like, “What do you want for your ninth birthday?” I’m like, “How ’bout a urinal, in my bedroom, and, “maybe a firearm, and a new babysitter. “The big three.” That was my big fear when I was a kid, wetting my pants. ‘Cause if you get like frightened or anything, or scared, which I was scared of everything, if you get frightened by something, you can just urinate right in your pants. And then your life is ruined. That’s a weird mind body connection, I never understood. Like your brain is like, “I’m terrified.” And then you’re bladder’s like, “We’ll, go ahead and piss then.” And then your brain’s like “That didn’t help at all.” And your bladder’s like “That’s all we know how to do. “We just wanted to let you know we were helping, hell.” And then your colon’s like “We’re ready to rock also, “if you want us to fire something up.” Fortunately, my Aunt Betty was never attacked by a man, behind the shower curtain. Which is good. I mean it could still happen, she’s still alive. But probably won’t, she lives with her parents, they have a security system set up. She’s always lived with her parents, she’s never moved out, she’s never been married. She had the wrong worst fear."
Jimmy_Yang_3,"Now I got to tip 20% everywhere. I got to give every Uber driver five-star ratings just so I can be a good representative.Everywhere I go, I got to represent. Even day to day shit, even the bedroom I got to represent. After I hooked up with this one girl, this is what she said to me. She was like, Jimmy, I don’t know how to tell you this, but you’re the first Asian guy I’ve ever been with. I’m like, OK. What do you want, a fortune cookie? Like, wha–? Like, what do you want? She acted like she just unlocked a new character on Street Fighter or some shit. Why do you feel the need to say that?This one girl said this shit that was so disrespectful. This is what she said to me after we hooked up. She was like, Jimmy, um, I’m just glad the stereotype’s not true. You don’t have a small penis. I’m like, bitch, you understand you just insulted my entire race of people? But thank you. First of all, thank you for thinking that I did have a small penis, and we still had sex. You’re the real MVP. You get two fortune cookies tonight, miss. Thank you.But that’s a fucked up stereotype, right? That’s not even true. That’s a fucked up stereotype. Everybody should have average dick until proven guilty. I don’t care how tall you are, what ethnicity you are, how big your hands are. Everybody should start at average dick, 8 inches. And we go from there."
Louis_CK_3,"I have a great dog. I’ve got a dog last year. She’s a great dog. I did not adopt her, I’ll be honest with you. I bought her with money. That’s the truth. People always ask me when I walk my dog in New York, “That’s a beautiful dog. Is she a rescue?” I’m like, “No, she’s very expensive. Please don’t touch her.”I did rescue a dog last year, and it bit everyone in my life, so I un-rescued it, and I bought a dog that works. In New York, everybody rescues their dogs, like, “I rescued this dog. I rescued her. She has no eyes and she’s dead.I hate New York, I really do — I used to love New York, but I hate it now, I really — I’d rather be in Auschwitz than in New York City. Honestly, I would. I mean — I mean Auschwitz now. I mean, today Auschwitz. Not back when it was open. I mean, now — it’s nice now. There’s a gift shop. People go there on purpose. They buy tickets. I think that’s weird… That people buy tickets to Auschwitz. That’s weird. If you could have told those people back then, “People are going to buy tickets to come here. Wrap your head around that. Jew.” That’s — All right. I’m sorry. I’m sorry, never again, I promise.That’s what we say about the Holocaust: Never again, ’cause they killed six million Jews. If they only killed, like, 10,000, would it be like, “Okay, two more times, and then taper off because it’s a little much.”"
Nate_Bargatze_3,"We go into the church. It’s bride and groom. Looks like it’s home and away That’s how many jerseys are in there. -Uh… Guys are drinking beers in the church. Like, that’s something I’ve never heard, a pastor be like, “Guys, can we not drink alcohol in the church?” They’re like, “Oh, I didn’t know this was the nice part of town. All right.” Uh… The reception is next door, just at a lady’s house. Like, in her backyard. Like, she doesn’t do… It isn’t like, she’s like, “And I do receptions all the time.” We were her one and only reception. So we walk over. They took a horse and buggy. The horse was the oldest horse I’ve ever seen. I thought it was a donkey. I thought they got a deal on a donkey. And the guy was like, “This horse was in the Kentucky Derby.” You’re like, “The first one that they did? Is that Secretariat’s father? How old is this horse, man? You know they lay down, right?” Uh…So we walk. They took… They… It took them… It took them 45 minutes. They went up a driveway and back down the next driveway. They’re sweating, almost divorced by the time they get there. The reception, like I said, it’s in her backyard. They put plywood on the grass, like, side-by-side, to make a dance floor. We danced just to a radio station on a boombox. Just, like, 104.5. You would have to stop for weather and traffic updates."
Nate_Bargatze_TK_3,"Even though I make fun of Common Core, I have learned stuff from elementary homework, which is embarrassing. I’m 41. My daughter is eight. Nothing should ever come out of her mouth that I’m like, “What? What was that?” I learned when to use “a” or “an” in a sentence. [chuckles] I didn’t know that there was a rule in play. I thought you felt it out, you know, and just go, “That feels right,” and that’s what you do. I do the same thing with a comma. I’ve never known where a comma’s supposed to go. If I feel a comma’s coming, I try to get out of that sentence so bad. I mean, I… And if I can’t, I just put a comma and see if someone says something, you know? They’re like, “Is that a comma?” I’m like, “Is it? My comma button has been sticking on my phone.” Uh… I remember nothing from school. People talk about history to me, I’m like, “I don’t know when you guys learned that. I think we skipped all of this.” I almost didn’t graduate high school. I had an F in science. I was taking a class called “Science” my senior year in high school. I mean, I had an F. My dad went and talked to the teacher and said, “Look, just give him a D.” “He’s not gonna do science stuff.” And the teacher agreed to it. She was that confident I wouldn’t touch the science world. I got… We took ACTs, and I got a 17 on it. And if you don’t know ACTs, 18 is like, “That’s not good, man, but you made it.” Seventeen, they’re like, “I don’t even… Are you enrolled in this school?” “Like, what are you doing?”"
Russell_Peters_3,"My girlfriend’s Mexican. And I didn’t realize how Mexican she was until she went into labor and they broke her water and candy fell out of her. Do you realize my son is Mexican and Indian? He’s going to be able to engineer the wall.And hop it. He’s going to steal your laptop and fix it. It’s going to be an amazing thing to see. How old are your kids? 22 and 19.RUSSELL PETERS: 22 and 19. Man, you did all this shit young. That’s crazy. I mean, that’s great. I did it way too late. You think about it, I’m 49. When my son starts walking, we’re going to be walking the same way.I waited too long. Do you remember your first pregnancy? You remember it clearly? Do you remember how many months it took you before you started to show? Probably about four to six, maybe? Yeah, it’s usually about that, right? Four to six months on your first pregnancy, the woman starts to show. My girlfriend, she started the show after one month. It was like,. I’m like, what the fuck is going on? How many? How many? How many motherfuckers are in there right now? I took her straight to the doctor. I need to know many heartbeats you hear, doctor. How many heartbeats do you hear? There was just one, but I got so scared. Because twins at this age, fuck that."
Sam_Morill_3,"I’m a pretty liberal guy, but some of my friends now are so liberal that everything turns into slavery or the Holocaust in every conversation, you know what I’m talking about? I was talking to my friend the other day, and he goes, “Trump is Hitler.” I said, “All right, look, “we don’t know how hilarious Hitler would have been “on social media. “That’s not fair.” Hitler might have had a strong Twitter presence. Trapped in bunker, sad. Adolf’s trending. I came across the article the other day on the internet. Just said fun facts about Hitler, which I think is a great title. I’ve always said there aren’t enough upbeat pieces on the Fuhrer. Fun fact about Hitler, didn’t pay income tax, was very bad at managing his money, and I thought, man, it’s too bad there wasn’t a group of people that could have helped, you know?Jews. So…"
Trevor_Noah_3,"You know what fascinates me about New York… is how much people trust the traffic lights. I have never seen anything like it. You must remember, I come from an African country. And all over Africa, we have traffic lights. But we don’t use them. All right? It’s less of a command and more of a suggestion. It’s not “Stop!” It’s “Stop?” It’s almost like an African traveled the world, saw that other people have traffic lights and then just brought them back, but didn’t know what they were for. The guy was like, “Guys, guys, guys. We need to get traffic lights. Ah?” People were like, “What for?” “It’s for the intersection. It adds atmosphere.” No one actually knew what it was about. We don’t care about the lights, and we don’t trust the lights. But in New York– I’ve never seen it– people trust that light with their lives. I was walking in the streets one day. I was walking next to this man. I’ll never forget this. We’re standing there on the sidewalk, and the light changes in our favor. And I looked to the side, and there was this truck that is barreling down the road. And I’m looking at the truck. And as soon as the light changes, the guy next to me, he steps out into the road. Instinctively, I stuck my hand out to protect him. I was like, “Yo, dude, there’s a truck.” And he was like, “It’s okay. We’ve got the light.” I said, “Yeah, and he has a truck. In a game of rock-paper-scissors, you lose.” But he was so confident. He was like, “We’ve got the light. Let’s go.” And he walked out. He didn’t just walk out. He stared that truck driver down as he was crossing. Just looking at him. Like, “I’ve got the light. You know I’ve got the light. You know I’ve got that light.” I was running behind him, all apologetic. “I’m sorry, I didn’t know. He– I’m sorry. I would have stopped– I’ve never done this before.” I walked with that man for 12 blocks. And let me tell you, I have never been imbued with the confidence of another human being the way I was with him. I started that day… thinking and pondering before stepping out. And after a few blocks with him, I started believing. And after eight blocks, it was the only way I knew how to live."
Tom_Segura_3,"Probably checked in to 400 hotels this year. And when I tell you that this has happened to me more than half a dozen times, I am not exaggerating. Every hotel check-in begins, usually, the same. It’s standard. Hotels, you know, the people at the desk, they go, “Last name?” And this just happened to me. “Last name?” And I go, “Segura.” And the guy goes, “Whoa. Are you Japanese?” And I go, “Hundred percent, yeah.” He goes, “We don’t get a lot of Japanese people here. That’s pretty cool.”So, I have to stop him, and go, “Hey, man. I’m not Japanese.” And he goes, [in gruff voice] “Segura. Segura! Sounds Japanese.” I go, “That’s ’cause you’re saying it Japanese.I could be Smith, and if you want to go [in gruff voice] ‘Smith…’ -then it’s Japanese.” And he goes, “Well, what are you?” Which is fuckin’ rude. Can I just say, it’s never important to ask that question. “What are you?” It’s never important to ask that. It’s sometimes important, but… --not a lot. When is it important?"
