comedian,sentence,gender
Louis_CK_2,"""You ever been having, like, a dramatic moment in your family, like, you’re in the living room telling the kids that grandma died, and everybody’s crying, and the dog’s sitting there like…“I know you! Ha!” They’re so stupid! Incredibly stupid animals.""",woman
Louis_CK_2,"They don’t even know their own lives, they don’t even — they can’t even handle their own lives mentally',",woman
Nate_Bargatze,"Did you name her after Harper Lee, the author of To Kill a Mockingbird?"" And, you know, I’ve never thought about an author a day in my life, so… That never occurred to me",woman
Nate_Bargatze,"""I mean, my middle name is Lee, and it just never crossed my mind.",woman
Nate_Bargatze_2,"First and second grade was awesome. Third grade, you’re like, “Okay.” They throw some stuff in, you’re like, “Oh, all right. All right.” It’s, uh… “Okay, learning it earlier than we used to, huh?”",woman
Nate_Bargatze_2,"She brought home Common Core math. That’s fun. It’s a new math they invented, no heads up. Just give it to parents that never learned it.",woman
Nate_Bargatze_2,"It’s just a whole new… I mean, it’s',",woman
Nate_Bargatze_TK,"Uh… It goes clown, then magic. There’s two steps. You can take them in either order.",woman
Nate_Bargatze_TK,I thought everybody’s dad was a clown.,woman
Nate_Bargatze_TK,"He’s dressed as a clown, that doesn’t even faze me. That’s just how he left. How else would he come home?",woman
Nate_Bargatze_TK,The Easter Bunny was in the passenger seat.,woman
Nate_Bargatze_TK,"""The Easter Bunny head didn’t fit in the car. Like, he couldn’t sit normal,',",woman
Nate_Bargatze_TK_2,"Tuesday’s getting married, rehearsal’s Friday, wedding’s Saturday.",woman
Nate_Bargatze_TK_2,We gotta be there Monday for this wedding? How long is this wedding? It’s a week?”,woman
Nate_Bargatze_TK_2,Everybody else just has a football or basketball jersey on.,woman
Nate_Bargatze_TK_2,"He has his tuxedo jacket, pants, cummerbund, bowtie. No shirt.",woman
Nate_Bargatze_TK_2,"They forgot his shirt, and instead of waiting to go get it, he was like, “Let’s do it without it.”""',",woman
Russell_Peters,What do you mean what else is wrong with me?,woman
Russell_Peters,"that’s really fucking racist, but since you asked, I have acid reflux.",woman
Russell_Peters,"First of all, you’re lying to me right now. Because there is no way you can be Indian and not have fucking acid reflux",woman
Russell_Peters,"It’s inevitable. There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your',",woman
Russell_Peters_2,"If I have twin girls, these are going to be my daughters, it’s going to be Kate and Duplicate",woman
Russell_Peters_2,"These are my boys, it’s Pete and Repeat",woman
Russell_Peters_2,"If I had twins with a black girl, this is Tyrone and Tyclone.",woman
Russell_Peters_2,"Identical twins, that’s like bragging rights for you, you know I mean.",woman
Russell_Peters_2,"Look at how good my balls are. Look, look.",woman
Russell_Peters_2,"My balls are so strong, they made one kid and then it made the exact same kid right away',",woman
Sam_Morril,"That is male privilege right there, isn’t it? I just told a room full of people I got roofied. I did not see one concerned face in here. Everyone in here is like I assume things worked out for you, and they did. Still weird, though.",woman
Sam_Morril,"And I thought, why is this guy so mad at me? And then I chugged it, and I woke up the next morning, and I was like oh. That guy’s a sexual predator",woman
Sam_Morril,"I prefer to think of myself as',",woman
Sam_Morril_2,"It’s weird that they can do anti-smoking ads, but you can’t do pro-cigarette commercials. Isn’t that weird? They don’t give ’em a rebuttal.",woman
Sam_Morril_2,"Wouldn’t kill you to carry a pack,” you know? Marlboro: Just in Case.",woman
Sam_Morril_2,"That one’s not for everybody, that joke. I did that joke the other night and somebody yelled out boo. I thought it was the baby’s ghost, but, you know.",woman
Trevor_Noah,"I feel safe, like even if there’s a monster under the bed, he’d be like, “Is that a Russian?",woman
Trevor_Noah,"Ladies, every single one of you needs to learn the Russian accent.",woman
Trevor_Noah,"The next time you’re in a compromising position, you’re at a bar, waiting for your drink. That creepy guy comes up and starts grinding on you from behind.",woman
Trevor_Noah,"“I don’t want dance with you. Please!” “Hey,',",woman
Trevor_Noah_2,You can’t do normal things with that voice. You are destined for greatness.,woman
Trevor_Noah_2,"And a Kit Kat, please.” No. No. It’s so unique. You can’t be silly.",woman
Trevor_Noah_2,"What are you making, prank phone calls? “Who the hell is this?!” “I’m not telling you.” [laughs]",woman
Trevor_Noah_2,"He would tell jokes at press conferences and events, and no one would laugh. Because everyone thought a man who had been in jail for 27 years couldn',",woman
Tom_Segura,"The most terrifying housing situation that exists. Where other trailer people are like, “Get the fuck out of here.” Kick ’em out.",woman
Tom_Segura,You don’t fuckin’ have it? Isn’t that your sole responsibility?,woman
Tom_Segura,"We just need to go get it.” I was like, “Let',",woman
Tom_Segura_2,"I got such a warm rush through my body. It felt like the inside of my body hugged the outside of my body, you know?",woman
Tom_Segura_2,"I think it’s a taste of power. Like most of us, we have no power in our everyday lives. But if you’re alone in an elevator, -you are lord of the elevator shaft.",woman
Tom_Segura_2,"You get to decide, like a king with his drawbridge. There’s “Hold Open,” and “Close.” And you can watch people walk up and be like',",woman
Anthony_Jeselnik_3,Mom and dad were strict. My mom and dad once made me smoke an entire pack of cigarettes. An entire pack of cigarettes in one sitting. Just to teach me an important lesson about brand loyalty.,woman
Anthony_Jeselnik_3,"I learned a lot from my parents. Especially my dad. Like, I’ll never forget… the first time I ever got a bad report card in school. First time I got a bad report card, I brought it home, I gave it to my dad and my dad beat me. Beat the hell out of me. But I learned something',",woman
Ali_Wong_3,You go to any hipster neighborhood in a major city in America and that shit is turning into a Yoko Ono factory.,woman
Ali_Wong_3,It’s… too much. ,woman
Ali_Wong_3,"You feel very… You feel very picturesque when you’re with a white dude, you know.",woman
Ali_Wong_3,You feel like you’re in a Wes Anderson movie or something.,woman
Ali_Wong_3,"And you know, white dudes, they teach you about a lot of cool stuff like voting and recycling, and disturbing documentaries",woman
Ali_Wong_3,"Oh, my God. I just feel like I’m absorbing',",woman
Chelsea_Peretti_3,I was filled with adrenaline. It’s what I imagine hunting and gathering felt like.,woman
Chelsea_Peretti_3,My dick hurts,woman
Chelsea_Peretti_3,My dick hurts,woman
Chelsea_Peretti_3,[humming triumphant tune],woman
Chelsea_Peretti_3,Our grandparents never got to do that.,woman
Chelsea_Peretti_3,"It’s just weird that any news story that goes online, it’s like any shithead can just write [grunts] “Here’s my thoughts.”",woman
Chelsea_Peretti_3,"What’s up, Jew-fro?! You Jew-ass bitch! Jew, Jew, Jew, bitch, Jew,',",woman
Donald_Glover_3,"Oh man, I wish I could say that stuff. “It sounds so cool when you say it in rap songs. Like, I want to say that, it sounds cool.”",woman
Donald_Glover_3,"And I’m just like, oh, it doesn’t really, like, do anything… it’s not that great, you know?",woman
Donald_Glover_3,"And she comes up to me and she goes, “I’m sorry, but are there any terms or phrases in your act “that don’t exist in sign language that I have',",woman
Hasan_Minhaj_3,"Ah, yogurt."" Or milk. Just like, “Ah.” And I’d look at him and be like, “Oh, man. Dad hates yogurt.” [laughter] “He hates milk.”",woman
Hasan_Minhaj_3,"""I’m going to live forever!” Then I would trip on my Velcro shoes and I would drop the soda and it would explode. And then my dad would do what most br0wn parents do. He would check to see if the coast is clear… and he’d slap the shit out of me.",woman
Iliza_Shlesinger_3,"Gentlemen, you have no idea what we’re looking at.",woman
Iliza_Shlesinger_3,"We’re judging your hair, your shoes, we scan you, like Predator.",woman
Iliza_Shlesinger_3,"Scanning for physical abnormalities. Is he balding Is that a goatee Is his shirt unbuttoned too low for his ethnicity? Is he wearing embroidered jeans? If so, is he a European male or just someone from Arizona?",woman
Iliza_Shlesinger_3,"We aren’t looking to see if you’re the hottest guy ever. Nay. We are merely assessing if you’',",woman
John_Mulaney_3,"No, I wish!",woman
John_Mulaney_3,Jesus Christ!,woman
John_Mulaney_3,Blair Witch style.,woman
John_Mulaney_3,Do you want a Best Buy Rewards card?,woman
John_Mulaney_3,No.,woman
John_Mulaney_3,You’ll see! One day I’m going to leave you and I’m going to get that Best Buy Rewards card.,woman
John_Mulaney_3,"Jesus Christ, you’re never going to get that Best Buy Rewards card!",woman
Jim_Gaffigan_3,You’re so much taller in person. Can we do a selfie?,woman
Jim_Gaffigan_3,"Like, you never hear, we’re in restaurant, Tom Hanks walked in and then he came over and murdered my family.",woman
Jim_Gaffigan_3,That guy looks like Phillip Seymour Hoffman.,woman
Jim_Gaffigan_3,Do you have anything stronger? ‘Cause I don’t think this bear’s approaching to get his hair done.”,woman
Joe_List_3,"I didn’t go to college or anything, but I know how to do therapy.",woman
Joe_List_3,"Whatever you’re dealing with, it’s because of your family. Look no further, than your own family.",woman
Joe_List_3,"And then you’re like, “Still, great.” Then you give him your money, and then you leave.",woman
Joe_List_3,"At first I was skeptical. I was like, “I don’t know.” And then I spent 11 seconds with my family, and I was like,',",woman
Jimmy_Yang_3,"What do you want, a fortune cookie?",woman
Jimmy_Yang_3,"Like, wha–? Like, what do you want?",woman
Jimmy_Yang_3,She acted like she just unlocked a new character on Street Fighter or some shit.,woman
Jimmy_Yang_3,"bitch, you understand you just insulted my entire race of people?",woman
Jimmy_Yang_3,"You’re the real MVP. You get two fortune cookies tonight, miss.",woman
Jimmy_Yang_3,Everybody should have average dick until proven guilty,woman
Jimmy_Yang_3,"Everybody should start at average dick, 8 inches. And we go from there",woman
Louis_CK_3,She’s very expensive. Please don’t touch her.,woman
Louis_CK_3,"I did rescue a dog last year, and it bit everyone in my life, so I un-rescued it, and I bought a dog that works.""",woman
Louis_CK_3,"I hate New York, I really do — I used to love New York, but I hate it now, I really — I’d rather be in Auschwitz than in New York City. Honestly, I would.",woman
Louis_CK_3,"I mean Auschwitz now. I mean, today Auschwitz. Not',",woman
Nate_Bargatze_3,"Guys are drinking beers in the church. Like, that’s something I’ve never heard, a pastor be like, “Guys, can we not drink alcohol in the church?” They’re like, “Oh, I didn’t know this was the nice part of town. All right.”",woman
Nate_Bargatze_3,"The reception is next door, just at a lady’s house. Like, in her backyard. Like, she doesn’t do… It isn’t like, she’s like, “And I do receptions all the time.”',",woman
Nate_Bargatze_TK_3,"Nothing should ever come out of her mouth that I’m like, “What? What was that?”",woman
Nate_Bargatze_TK_3,"[chuckles] I didn’t know that there was a rule in play. I thought you felt it out, you know, and just go, “That feels right,” and that’s what you do.",woman
Nate_Bargatze_TK_3,"I do the same thing with a comma. I’ve never known where a comma’s supposed to go. If I feel a comma’s coming, I try to get out of that sentence so',",woman
Russell_Peters_3,And candy fell out of her.,woman
Russell_Peters_3,He’s going to be able to engineer the wall. And hop it.,woman
Russell_Peters_3,He’s going to steal your laptop and fix it.,woman
Russell_Peters_3,"Man, you did all this shit young. That’s crazy. I mean, that’s great. I did it way too late",woman
Russell_Peters_3,"When my son starts walking, we’re going to be walking the same way.",woman
Russell_Peters_3,"My girlfriend, she started the show after one month",woman
Sam_Morill_3,we don’t know how hilarious Hitler would have been on social media.,woman
Sam_Morill_3,Adolf’s trending.,woman
Sam_Morill_3,"Just said fun facts about Hitler, which I think is a great title.",woman
Sam_Morill_3,I’ve always said there aren’t enough upbeat pieces on the Fuhrer.,woman
Sam_Morill_3,"Fun fact about Hitler, didn’t pay income tax, was very bad at managing his money, and I thought, man, it’s too bad there wasn’t a group of people that could have helped, you know?",woman
Sam_Morill_3,Jews.,woman
Trevor_Noah_3,"You must remember, I come from an African country. And all over Africa, we have traffic lights. But we don’t use them. All right? It’s less of a command and more of a suggestion. It’s not “Stop!” It’s “Stop?” It’s almost like an African traveled the world, saw that other people have traffic lights and then just brought them back, but didn’t know what they were for.",woman
Trevor_Noah_3,"The guy was like, “Guys, guys, guys. We need to get traffic',",woman
Tom_Segura_3,Segura. Segura! Sounds Japanese,woman
Tom_Segura_3,That’s ’cause you’re saying it Japanese.,woman
Tom_Segura_3,"Well, what are you?",woman
Anthony_Jeselnik,"Sold my passport on the street for 300 bucks to get to my prom.""",man
Anthony_Jeselnik,"Weird joke to clap for, but sure.",man
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11. I think.,man
Anthony_Jeselnik,And I do not tolerate racism. That’s ignorance and I hate that.,man
Anthony_Jeselnik,"Shut up, Mom, that’s racist. Put your money away.",man
Anthony_Jeselnik,"Most of them are in jail, to be honest.",man
Anthony_Jeselnik,"‘Cause they’re all',",man
Anthony_Jeselnik_2,"I asked a friend for advice. Was like, “I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?”",man
Anthony_Jeselnik_2,"Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don’t tell a joke. Try not.”",man
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent,',",man
Ali_Wong,Don’t ever do that with your mom.,man
Ali_Wong,It was so emotional. We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual.,man
Ali_Wong,The manual. She don’t even know… where the calculator is.,man
Ali_Wong,"It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $200. And everybody thought it could graph',",man
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis. ‘Cause she knows that she’s got a century more to go.",man
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.,man
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",man
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck. They got no shame.",man
Ali_Wong_2,They do that ’cause it’s a free activity. For them.,man
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… [laughing shrilly] “To the future!”",man
Chelsea_Peretti,"[giggles shrilly] “Uh-oh, it’s us again.” [trills]",man
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.",man
Chelsea_Peretti,Missing my hub like a mug,man
Chelsea_Peretti_2,People say I look just like you.,man
Chelsea_Peretti_2,"It’s actually to stop them from sweating, because why would you, you know, as a human?",man
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.",man
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil",man
Chelsea_Peretti_2,"Oh, ho, ho, ho.",man
Chelsea_Peretti_2,"She is so fucking hot. Her armpits are bone-fucking-',",man
Donald_Glover,"tears streaming down his face, but he wasn’t crying. He wasn’t crying. Just tears, he was giving me this mean mug, he was like…",man
Donald_Glover,What’s going on with this kid?,man
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,man
Donald_Glover,the vapors from his own mouth made his eyes water.,man
Donald_Glover,"Like, he’d be like, “Hello!” And then like… Just, they would just bleed…",man
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.”",man
Donald_Glover_2,"Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high.",man
Donald_Glover_2,"You can shit on command? Like, you can just… You can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!”",man
Hasan_Minhaj,"Are you fucking kidding? Thirteen episodes for this kid?""",man
Hasan_Minhaj,Do you know when br0wn kids get slapped? Every br0wn birthday party.,man
Hasan_Minhaj,"And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!”",man
Hasan_Minhaj,Slapping is important. It elevates your game.,man
Hasan_Minhaj,"You ever seen an Indian kid win a spelling bee? Incredible! Ice water in the veins. That kid',",man
Hasan_Minhaj_2,Getting into Stanford,man
Hasan_Minhaj_2,"You have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom.",man
Hasan_Minhaj_2,"All 30 of us? We’re all going to prom? AP Calc? Us? Me, Jehovah’s Witness girl, Korean exchange students, going to the prom? Thirty for 30? All of us?",man
Hasan_Minhaj_2,"Hanson, this is not funny",man
Iliza_Shlesinger,"Granted, I’m not married yet, so, technically, I’ve only had beginnings of relationships.",man
Iliza_Shlesinger,"You want him to come in and be, like, “It’s so homey. I’d like to stay forever.” Yes, come closer.",man
Iliza_Shlesinger,"In your 30s… In your 30s, homeboy knocks on the door, you open it, you’re in combat boots, nothing else, and a garbage can on fire, you’re,',",man
Iliza_Shlesinger_2,You don’t want to wear nipple tassels.,man
Iliza_Shlesinger_2,"The blood’s gonna go from here to his dick, he’s gonna impale himself, he’s gonna sue you, and you ain’t got no money",man
Iliza_Shlesinger_2,"It’d be like if you have the worst day, you came home to your boyfriend, like… “I had the worst day. I got fired, and… I cried in front of everyone and… I ate that French fry from my car. It was just such a hard day.” Your',",man
Jim_Gaffigan,We got nothing for you. And you can’t use our bathroom,man
Jim_Gaffigan,Aw. Look at you try.,man
Jim_Gaffigan,"The fat pig is trying, the fat pig is trying, I…",man
Jim_Gaffigan,"Good show."" “You nailed it.” I don’t care. I like to eat!",man
Jim_Gaffigan,"Well, you must know your way around the kitchen. I know where the food is.",man
Jim_Gaffigan,"Well, you must love to cook. Look, I like to sleep. It doesn’',",man
Jim_Gaffigan_2,I have friends that are mentally ill.,man
Jim_Gaffigan_2,Didn\'t suspect a thing. Dog didn\'t know it was his birthday. The dog didn\'t know it had a birthday.,man
Jim_Gaffigan_2,"Oh, one year equals seven for doggies? Okay. When I see a dog, I’ll do math. That’s not fulfilling some dog need, you know?",man
Jim_Gaffigan_2,"There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!",man
Joe_List,It’s one doctor. He knows all three body parts.,man
Joe_List,"“Ear, nose, throat. “Who do ya need?”",man
Joe_List,And they all kinda.,man
Joe_List,"I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying “tin-uh-dus.”",man
Joe_List,This guy’s a fake ass fucking retard doctor. It’s pronounced t-ah-n-i-tus.”,man
Joe_List,"Shit, now I don’t know how to say this',",man
Joe_List_2,"You feel better than everybody behind you, don’t you?",man
Joe_List_2,"What a fucking idiot back there. Embarrassing, loser.""",man
Joe_List_2,"The whole flight he’s like. [yawns] For like five hours. [yawns] I wanted him to die, I swear to God.""",man
Joe_List_2,"First of all, you don’t need to make a noise when you yawn. That’s a decision, he’s deciding to do that.",man
Joe_List_2,"It’s like, if you were',",man
John_Mulaney,"We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months",man
John_Mulaney,"And then one day my wife said, “Hey, you took that stuff to Goodwill, right?” And I said, “Of course I did! On an unrelated note, I’m going to walk out the front door right now.”",man
John_Mulaney,"It was charitable, but it was also fast and violent, because I was throwing boxes at ",man
John_Mulaney_2,The Bruno Mars of assemblies.,man
John_Mulaney_2,You are gathered together as a school and you are told never to talk to an adult that you don’t know and you are told this by an adult that you don’t know.,man
John_Mulaney_2,Go ahead and laugh. His name is ridiculous. That was his name. It was JJ Bittenbinder.,man
John_Mulaney_2,"He was a child homicide expert and… -[audience is silent] -Oh, gee. [audience laughing] Very sorry, Radio City, did that make you uncomfortable?',",man
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping.",man
Jimmy_Yang,"I’ve been dating a lot of tall girls lately, because it makes me look successful.",man
Jimmy_Yang,"But some of them like to wear heels. That’s just disrespect. Like, you’re already five inches taller than me. Why the fuck are you wearing heels? She’s like, it makes my ass look better. I’m like, your ass is at my',",man
Jimmy_Yang_2,"Like, it’s really hard for me to watch TV with my dad, because he’s trying to make me explain everything to him.",man
Jimmy_Yang_2,"First of all, old Asian people, they don’t watch TV. They judge the TV",man
Jimmy_Yang_2,"He’s just sitting there, arms folded, judging the TV like–",man
Jimmy_Yang_2,"He’s made some random noises around the house. Now whenever he sneezes, it’s never just a sneeze. It’s like a whole tsunami of sound waves that',",man
Louis_CK,He was?,man
Louis_CK,Yeah. Jesus was Jewish.,man
Louis_CK,"Dude, Jesus couldn’t be Jewish. Think about it.",man
Louis_CK,"You fucking think about it, you idiot. What d– What was he then? You’re… What, was he Presbyterian? What was he? Catholic?",man
Louis_CK,"Okay, Jesus was Catholic and he had a gold chain with a cross. And when they nailed him up, he was like, “Oh, that’s why we have those!” “That finally',",man
Louis_CK_2,They’re in our lives and they know nothing about what’s happening.,man
Louis_CK_2,"You ever been having, like, a dramatic moment in your family, like, you’re in the living room telling the kids that grandma died, and everybody’s crying, and the dog’s sitting there like…“I know you! Ha!”",man
Louis_CK_2,They’re so stupid! Incredibly stupid animals.,man
Louis_CK_2,"They don’t even know their own lives, they don’t even — they can’t ",man
Nate_Bargatze,"Did you name her after Harper Lee, the author of To Kill a Mockingbird?"" And, you know, I’ve never thought about an author a day in my life, so… That never occurred to me.",man
Nate_Bargatze,"I love when kids cry, it’s just innocent. I love how innocent it is. They cry over a tag in their shirt. I mean, they bawl. They don’t like… It feels weird",man
Nate_Bargatze,"She’s on her iPad a lot. You know, that’s the hard',",man
Nate_Bargatze_2,"Third grade, you’re like, “Okay.” They throw some stuff in, you’re like, “Oh, all right. All right.” It’s, uh… “Okay, learning it earlier than we used to, huh?”",man
Nate_Bargatze_2,"She brought home Common Core math. That’s fun. It’s a new math they invented, no heads up. Just give it to parents that never learned it",man
Nate_Bargatze_2,"It’s just a whole new… I mean, it’s unbelievable. They bring it home,',",man
Nate_Bargatze_TK,"Uh… It goes clown, then magic. There’s two steps. You can take them in either order.",man
Nate_Bargatze_TK,"I thought everybody’s dad was a clown.""",man
Nate_Bargatze_TK,"He’s dressed as a clown, that doesn’t even faze me. That’s just how he left. How else would he come home?",man
Nate_Bargatze_TK,The Easter Bunny was in the passenger seat.,man
Nate_Bargatze_TK,"And I remember he had his seat belt on, and he’s just like…The Easter Bunny head didn’t fit in the car. Like, he couldn’t sit normal,",man
Nate_Bargatze_TK_2,"Tuesday’s getting married, rehearsal’s Friday, wedding’s Saturday.",man
Nate_Bargatze_TK_2,We gotta be there Monday for this wedding? How long is this wedding? It’s a week?,man
Nate_Bargatze_TK_2,I’m wildly overdressed. I look like I work there.,man
Nate_Bargatze_TK_2,Everybody else just has a football or basketball jersey on.,man
Nate_Bargatze_TK_2,"He has his tuxedo jacket, pants, cummerbund, bowtie. No shirt.",man
Nate_Bargatze_TK_2,"They forgot his shirt, and instead of waiting to go',",man
Russell_Peters,What do you mean what else is wrong with me?,man
Russell_Peters,"that’s really fucking racist, but since you asked, I have acid reflux.",man
Russell_Peters,Because there is no way you can be Indian and not have fucking acid reflux.,man
Russell_Peters,"It’s inevitable. There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your– as my dad would say– your esophagus.",man
Russell_Peters_2,"If I have twin girls, these are going to be my daughters, it’s going to be Kate and Duplicate.",man
Russell_Peters_2,"These are my boys, it’s Pete and Repeat.",man
Russell_Peters_2,"If I had twins with a black girl, this is Tyrone and Tyclone.",man
Russell_Peters_2,"Identical twins, that’s like bragging rights for you, you know I mean.",man
Russell_Peters_2,"Look at how good my balls are. Look, look.",man
Russell_Peters_2,"My balls are so strong, they made one kid and then it made the exact same kid right away',",man
Sam_Morril,"That is male privilege right there, isn’t it? I just told a room full of people I got roofied. I did not see one concerned face in here. Everyone in here is like I assume things worked out for you, and they did. Still weird, though.",man
Sam_Morril,"And I was like, that’s not how I want to think about it, you know? You don’t want to think of yourself as a -block to some monster. I prefer to think of myself as an accidental hero. I have a negative-one rapes,',",man
Sam_Morril_2,"It’s weird that they can do anti-smoking ads, but you can’t do pro-cigarette commercials. Isn’t that weird? They don’t give ’em a rebuttal.",man
Sam_Morril_2,"A hot girl walks up to a guy in the bar and asks to bum a cigarette, and he goes, oh, I don’t smoke. So then she goes outside and bums them from another guy, and they go home together and they fuck and that’s the whole commercial. There at the end, it just says, “Wouldn’t kill you',",man
Trevor_Noah,You don’t mess with the Russians. Most frightening people in the world. You know how I know this? You know how I’ve learned? Because I’ve learned how to use the Russian accent for myself.,man
Trevor_Noah,"I’m afraid of the dark. And I know it’s stupid to be afraid of the dark, right? Because there’s nothing there, nine times out of ten. But what happens is, I’ll be sleeping. And in the middle of the night, I’ll be woken up by the need',",man
Trevor_Noah_2,You can’t do normal things with that voice. You are destined for greatness,man
Trevor_Noah_2,"You can’t be running in the streets: “And a Kit Kat, please.” No. No.",man
Trevor_Noah_2,"It just doesn’t work. I remember when Nelson Mandela was still alive, and he would tell jokes at press conferences and events, and no one would laugh",man
Trevor_Noah_2,Because everyone thought a man who had been in jail for 27 years couldn’t make a joke.,man
Trevor_Noah_2,"He still kept what was him. It was partly because',",man
Tom_Segura,"The most terrifying housing situation that exists. Where other trailer people are like, “Get the fuck out of here.” Kick ’em out.",man
Tom_Segura,You don’t fuckin’ have it? Isn’t that your sole responsibility?,man
Tom_Segura,"Let’s go get it.” He goes, “I’ll go get it. You stay here and watch my place.” And I was like… “Okay.”",man
Tom_Segura,"That’s what’s up.” -Like, yeah, man. Pow.",man
Tom_Segura_2,"I got such a warm rush through my body. It felt like the inside of my body hugged the outside of my body, you know?",man
Tom_Segura_2,"I think it’s a taste of power. Like most of us, we have no power in our everyday lives.",man
Tom_Segura_2,"You are lord of the elevator shaft. You get to decide, like a king with his drawbridge",man
Tom_Segura_2,"And you can watch people walk up and be like, “Mm-mm.” -And you hit that. And then you see it close, and you',",man
Anthony_Jeselnik_3,Just to teach me an important lesson about brand loyalty.,man
Anthony_Jeselnik_3,Let her take the hit.,man
Anthony_Jeselnik_3,You don’t take classes. You don’t read the instructions. You just do it and figure it out,man
Anthony_Jeselnik_3,"Like, when I was a kid, I never got to take swimming lessons. No, my dad would pick me up and throw me in the water to teach himself CPR.",man
Ali_Wong_3,You go to any hipster neighborhood in a major city in America and that shit is turning into a Yoko Ono factory.,man
Ali_Wong_3,It’s… too much.,man
Ali_Wong_3,"You feel very… You feel very picturesque when you’re with a white dude, you know.",man
Ali_Wong_3,You feel like you’re in a Wes Anderson movie or something.,man
Ali_Wong_3,"And you know, white dudes, they teach you about a lot of cool stuff like voting and recycling, and disturbing documentaries.",man
Chelsea_Peretti_3,"""I was filled with adrenaline. It’s what I imagine hunting and gathering felt like.",man
Chelsea_Peretti_3,My dick hurts,man
Chelsea_Peretti_3,My dick hurts.,man
Chelsea_Peretti_3,[humming triumphant tune],man
Chelsea_Peretti_3,Our grandparents never got to do that.,man
Chelsea_Peretti_3,"It’s just weird that any news story that goes online, it’s like any shithead can just write [grunts] “Here’s my thoughts.”",man
Chelsea_Peretti_3,"What’s up, Jew-fro?! You Jew-ass bitch! Jew, Jew, Jew, bitch, Jew,',",man
Donald_Glover_3,"Oh man, I wish I could say that stuff. “It sounds so cool when you say it in rap songs. Like, I want to say that, it sounds cool.”",man
Donald_Glover_3,"And I’m just like, oh, it doesn’t really, like, do anything… it’s not that great, you know?",man
Donald_Glover_3,They already have it! Deaf people have been saying “niglet” for years! For years,man
Donald_Glover_3,"Was it… Why is this “n*gga”? Why is',",man
Hasan_Minhaj_3,"Ah, yogurt."" Or milk. Just like, “Ah.” \n* “Oh, man. Dad hates yogurt.” “He hates milk.",man
Hasan_Minhaj_3,I’m going to live forever!,man
Hasan_Minhaj_3,“And then my dad would do what most br0wn parents do. He would check to see if the coast is clear… and he’d slap the shit out of me.”,man
Hasan_Minhaj_3,Immigrants slap your face and bruise your soul. It’s Guantanamo of the mind.,man
Iliza_Shlesinger_3,"Gentlemen, you have no idea what we’re looking at.",man
Iliza_Shlesinger_3,"We’re judging your hair, your shoes, we scan you, like Predator.",man
Iliza_Shlesinger_3,"Scanning for physical abnormalities. Is he balding Is that a goatee Is his shirt unbuttoned too low for his ethnicity? Is he wearing embroidered jeans? If so, is he a European male or just someone from Arizona?”",man
Iliza_Shlesinger_3,"We aren’t looking to see if you’re the hottest guy ever. Nay. We are merely assessing if you’',",man
John_Mulaney_3,"No, I wish!",man
John_Mulaney_3,Jesus Christ!,man
John_Mulaney_3,Blair Witch style.,man
John_Mulaney_3,Do you want a Best Buy Rewards card,man
John_Mulaney_3,You’ll see! One day I’m going to leave you and I’m going to get that Best Buy Rewards card,man
John_Mulaney_3,"Jesus Christ, you’re never going to get that Best Buy Rewards card!”",man
Jim_Gaffigan_3,You’re so much taller in person. Can we do a selfie?,man
